case,backend,rc,time_s,run_log
dma_tma_movement_profile_full,gvm,0,212,/home/liyb/ventus-env/testcases/_get_case/dma_tma_movement_profile_test/log/dma_tma_movement_profile_full.gvm.20260810-214905.run.log
dma_tma_tensor_feature_perf_stress,gvm,0,384,/home/liyb/ventus-env/testcases/_get_case/dma_tma_tensor_feature_perf_test/log/dma_tma_tensor_feature_perf_stress.gvm.20260810-214905.run.log
