direction,bytes,h100_median_cycles,b200_median_cycles,v3_3_cycles,v3_3_minus_h100,v3_3_over_h100,v3_3_minus_b200,v3_3_over_b200
g2s,128,460.0,461.0,131,-329.0,0.284783,-330.0,0.284165
s2g,128,62.0,93.0,96,34.0,1.548387,3.0,1.032258
roundtrip,128,553.0,568.0,210,-343.0,0.379747,-358.0,0.369718
g2s,256,464.0,461.0,133,-331.0,0.286638,-328.0,0.288503
s2g,256,66.0,97.0,98,32.0,1.484848,1.0,1.010309
roundtrip,256,557.0,572.0,214,-343.0,0.384201,-358.0,0.374126
g2s,512,460.0,461.0,137,-323.0,0.297826,-324.0,0.29718
s2g,512,74.0,105.0,102,28.0,1.378378,-3.0,0.971429
roundtrip,512,565.0,580.0,222,-343.0,0.39292,-358.0,0.382759
g2s,1024,460.0,461.0,145,-315.0,0.315217,-316.0,0.314534
s2g,1024,90.0,121.0,128,38.0,1.422222,7.0,1.057851
roundtrip,1024,581.0,596.0,256,-325.0,0.44062,-340.0,0.42953
g2s,2048,460.0,461.0,168,-292.0,0.365217,-293.0,0.364425
s2g,2048,122.0,153.0,150,28.0,1.229508,-3.0,0.980392
roundtrip,2048,613.0,628.0,301,-312.0,0.491028,-327.0,0.479299
g2s,4096,460.0,461.0,206,-254.0,0.447826,-255.0,0.446855
s2g,4096,186.0,217.0,200,14.0,1.075269,-17.0,0.921659
roundtrip,4096,678.5,692.0,389,-289.5,0.573324,-303.0,0.562139
g2s,8192,608.0,609.0,285,-323.0,0.46875,-324.0,0.46798
s2g,8192,314.0,345.0,300,-14.0,0.955414,-45.0,0.869565
roundtrip,8192,805.0,820.0,568,-237.0,0.70559,-252.0,0.692683
g2s,16384,608.0,609.0,445,-163.0,0.731908,-164.0,0.730706
s2g,16384,570.0,601.0,492,-78.0,0.863158,-109.0,0.818636
roundtrip,16384,1209.0,1224.0,920,-289.0,0.760959,-304.0,0.751634
g2s,32768,756.0,759.0,765,9.0,1.011905,6.0,1.007905
s2g,32768,1082.0,1113.0,878,-204.0,0.81146,-235.0,0.788859
roundtrip,32768,1869.0,1884.0,1626,-243.0,0.869984,-258.0,0.863057
