suite,family,direction,method,case_id,h100_status,h100_parameters,h100_samples,h100_cycle_median,b200_status,b200_parameters,b200_samples,b200_cycle_median,ventus_status,ventus_parameters,ventus_samples,ventus_cycle,notes
common_command,bulk,g2s,tma,r1_c4,passed,bytes=16;rows=1;cols=4,27,507,passed,bytes=16;rows=1;cols=4,27,440,passed,bytes=16;rows=1;cols=4,3,86,exact numeric parameters; Reduce excluded
common_command,bulk,s2g,tma,r1_c4,passed,bytes=16;rows=1;cols=4,27,43,passed,bytes=16;rows=1;cols=4,27,43,passed,bytes=16;rows=1;cols=4,3,56,exact numeric parameters; Reduce excluded
common_command,bulk.tensor,g2s,tma,r1_c4,passed,bytes=16;rows=1;cols=4,27,628,passed,bytes=16;rows=1;cols=4,27,577,passed,bytes=16;rows=1;cols=4,3,119,exact numeric parameters; Reduce excluded
common_command,bulk.tensor,s2g,tma,r1_c4,passed,bytes=16;rows=1;cols=4,27,86,passed,bytes=16;rows=1;cols=4,27,90,passed,bytes=16;rows=1;cols=4,3,88,exact numeric parameters; Reduce excluded
common_command,bulk,g2s,tma,r4_c4,passed,bytes=64;rows=4;cols=4,27,507,passed,bytes=64;rows=4;cols=4,27,440,passed,bytes=64;rows=4;cols=4,3,86,exact numeric parameters; Reduce excluded
common_command,bulk,s2g,tma,r4_c4,passed,bytes=64;rows=4;cols=4,27,43,passed,bytes=64;rows=4;cols=4,27,43,passed,bytes=64;rows=4;cols=4,3,56,exact numeric parameters; Reduce excluded
common_command,bulk.tensor,g2s,tma,r4_c4,passed,bytes=64;rows=4;cols=4,27,628,passed,bytes=64;rows=4;cols=4,27,577,passed,bytes=64;rows=4;cols=4,3,119,exact numeric parameters; Reduce excluded
common_command,bulk.tensor,s2g,tma,r4_c4,passed,bytes=64;rows=4;cols=4,27,92,passed,bytes=64;rows=4;cols=4,27,93,passed,bytes=64;rows=4;cols=4,3,88,exact numeric parameters; Reduce excluded
common_command,bulk,g2s,tma,r4_c16,passed,bytes=256;rows=4;cols=16,27,507,passed,bytes=256;rows=4;cols=16,27,440,passed,bytes=256;rows=4;cols=16,3,88,exact numeric parameters; Reduce excluded
common_command,bulk,s2g,tma,r4_c16,passed,bytes=256;rows=4;cols=16,27,51,passed,bytes=256;rows=4;cols=16,27,51,passed,bytes=256;rows=4;cols=16,3,58,exact numeric parameters; Reduce excluded
common_command,bulk.tensor,g2s,tma,r4_c16,passed,bytes=256;rows=4;cols=16,27,628,passed,bytes=256;rows=4;cols=16,27,577,passed,bytes=256;rows=4;cols=16,3,121,exact numeric parameters; Reduce excluded
common_command,bulk.tensor,s2g,tma,r4_c16,passed,bytes=256;rows=4;cols=16,27,93,passed,bytes=256;rows=4;cols=16,27,98,passed,bytes=256;rows=4;cols=16,3,90,exact numeric parameters; Reduce excluded
common_command,bulk,g2s,tma,r16_c16,passed,bytes=1024;rows=16;cols=16,27,507,passed,bytes=1024;rows=16;cols=16,27,440,passed,bytes=1024;rows=16;cols=16,3,108,exact numeric parameters; Reduce excluded
common_command,bulk,s2g,tma,r16_c16,passed,bytes=1024;rows=16;cols=16,27,75,passed,bytes=1024;rows=16;cols=16,27,75,passed,bytes=1024;rows=16;cols=16,3,70,exact numeric parameters; Reduce excluded
common_command,bulk.tensor,g2s,tma,r16_c16,passed,bytes=1024;rows=16;cols=16,27,628,passed,bytes=1024;rows=16;cols=16,27,589,passed,bytes=1024;rows=16;cols=16,3,141,exact numeric parameters; Reduce excluded
common_command,bulk.tensor,s2g,tma,r16_c16,passed,bytes=1024;rows=16;cols=16,27,117,passed,bytes=1024;rows=16;cols=16,27,122,passed,bytes=1024;rows=16;cols=16,3,102,exact numeric parameters; Reduce excluded
common_command,bulk,g2s,tma,r32_c32,passed,bytes=4096;rows=32;cols=32,27,507,passed,bytes=4096;rows=32;cols=32,27,590,passed,bytes=4096;rows=32;cols=32,3,192,exact numeric parameters; Reduce excluded
common_command,bulk,s2g,tma,r32_c32,passed,bytes=4096;rows=32;cols=32,27,171,passed,bytes=4096;rows=32;cols=32,27,171,passed,bytes=4096;rows=32;cols=32,3,161,exact numeric parameters; Reduce excluded
common_command,bulk.tensor,g2s,tma,r32_c32,passed,bytes=4096;rows=32;cols=32,27,628,passed,bytes=4096;rows=32;cols=32,27,577,passed,bytes=4096;rows=32;cols=32,3,225,exact numeric parameters; Reduce excluded
common_command,bulk.tensor,s2g,tma,r32_c32,passed,bytes=4096;rows=32;cols=32,27,215,passed,bytes=4096;rows=32;cols=32,27,220,passed,bytes=4096;rows=32;cols=32,3,188,exact numeric parameters; Reduce excluded
feature,capacity,g2s,cooperative128,size_1024,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,153,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,149,not_in_ventus_list,,0,,CUDA cooperative reference; no Ventus list analog
feature,capacity,g2s,cooperative32,size_1024,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,194,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,190,not_in_ventus_list,,0,,CUDA cooperative reference; no Ventus list analog
feature,capacity,g2s,tma,size_1024,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,460,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,461,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,1,145,exact numeric parameters
feature,capacity,roundtrip,cooperative128,size_1024,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,328,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,320,not_in_ventus_list,,0,,CUDA cooperative reference; no Ventus list analog
feature,capacity,roundtrip,cooperative32,size_1024,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,400,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,412,not_in_ventus_list,,0,,CUDA cooperative reference; no Ventus list analog
feature,capacity,roundtrip,tma,size_1024,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,581,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,596,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,1,248,exact numeric parameters
feature,capacity,s2g,cooperative128,size_1024,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,236,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,143,not_in_ventus_list,,0,,CUDA cooperative reference; no Ventus list analog
feature,capacity,s2g,cooperative32,size_1024,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,283,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,177,not_in_ventus_list,,0,,CUDA cooperative reference; no Ventus list analog
feature,capacity,s2g,tma,size_1024,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,90,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,121,passed,bytes=1024;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,1,120,exact numeric parameters
feature,capacity,g2s,cooperative128,size_128,passed,bytes=128;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,163,passed,bytes=128;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,160,not_in_ventus_list,,0,,CUDA cooperative reference; no Ventus list analog
feature,capacity,g2s,cooperative32,size_128,passed,bytes=128;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,163,passed,bytes=128;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,160,not_in_ventus_list,,0,,CUDA cooperative reference; no Ventus list analog
feature,capacity,g2s,tma,size_128,passed,bytes=128;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,460,passed,bytes=128;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,461,passed,bytes=128;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,1,123,exact numeric parameters
feature,capacity,roundtrip,cooperative128,size_128,passed,bytes=128;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,347,passed,bytes=128;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,343,not_in_ventus_list,,0,,CUDA cooperative reference; no Ventus list analog
feature,capacity,roundtrip,cooperative32,size_128,passed,bytes=128;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,343,passed,bytes=128;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,343,not_in_ventus_list,,0,,CUDA cooperative reference; no Ventus list analog
feature,capacity,roundtrip,tma,size_128,passed,bytes=128;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,553,passed,bytes=128;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,568,passed,bytes=128;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,1,194,exact numeric parameters
feature,capacity,s2g,cooperative128,size_128,passed,bytes=128;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,248,passed,bytes=128;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,154,not_in_ventus_list,,0,,CUDA cooperative reference; no Ventus list analog
feature,capacity,s2g,cooperative32,size_128,passed,bytes=128;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,248,passed,bytes=128;rank=2;layout=contiguous;outstanding=1;ctas=1;batch=0,6,154,not_in_ventus_list,,0,,CUDA cooperative reference; no Ventus list analog
